Title,Cleaned_Text
2024-12-16 22:08:51+00:00,$RKLB What an epic end of the year for Electron ! $RKLB #RKLB
2024-12-16 21:33:23+00:00,Things move fast thatâ€™s why I see #RKLB at 100 next year
2024-12-16 21:31:08+00:00,"Wow ğŸ˜® +53,00 today Look at #IONQ #RKLB and #RGTI !ğŸ˜ğŸ¤©ğŸ‘ğŸ» I love you man"
2024-12-16 19:38:46+00:00,"$RKLB my hot take for today: if you are pricing in the Mars Sample Return as anything beyond a low probability windfall, your model is flawed. Plenty of catalysts on the horizon with a much higher likelihood of materializing . *cough* SDA *cough* #rklb #rocketlab"
2024-12-16 16:07:16+00:00,"#IONQ leading the charge , no stopping this company !! #RKLB kinda treading water"
2024-12-16 12:44:14+00:00,"As per my opinion the space-industry is going to be huge but jump into it now, still dont know. Even though I allocated small portion of my free cash to space-industry companies including #RKLB #investor #akcie"
2024-12-16 09:28:09+00:00,$RKLB If the FED doesnâ€™t cut rates at the end of the week and you have excess cash sitting somewhere youâ€™re going to have the best Christmas present ! ğŸ ğŸ„ $RKLB #RKLB
2024-12-16 08:41:22+00:00,#RKLB Veteran analyst who forecast Rocket Lab's stock rally updates price target
2024-12-16 01:30:59+00:00,How I use Technical Analysis to sell options! ğŸ“ˆğŸ§ª Combine this with stocks you want to own and you'll have a recipe for success! #OptionsTrading #Optionselling #HIMS #RKLB #NVDA A Thread ğŸ§µ
2024-12-15 21:18:09+00:00,Im 48. #rklb #pltr #tsla and the S&amp;P. Prob a few others im missing but im learning late in life.
2024-12-15 20:19:15+00:00,"ImpressiveğŸŒŠ, Jingle Bells all the Way #RKLB ğŸ„"
2024-12-15 17:58:41+00:00,Insane how I used to look forward to weekends just over a year ago. #stockmarket #rklb #lunr
2024-12-15 17:02:40+00:00,"RT : Iâ€™m going to sell my 10,00 in #LMT (Lockheed Martin) What should I buy. Thinking #RKLB #IONQ #RGTI Anything else ?"
2024-12-15 16:09:48+00:00,Replace â€˜SpaceXâ€™ with â€˜Yahooâ€™ and this was every â€˜smartâ€™ investor in 199. Confidently calling the trajectory of an industry in its infancy is a foolâ€™s errand. #RKLB #RocketLab $rklb
2024-12-15 06:04:43+00:00,"Letâ€™s call Muskâ€™s space company , by 2035 he can build another new optimized version of starship . Musk at #1 and #RKLB at #2 . It will all be fun for all of us in this Golden age of USA."
2024-12-15 04:52:56+00:00,Just saw a guy in the bar wearing a $RKLB #RKLB sweatshirt. If that isnâ€™t a good sign of things to come as we head into the new year then I donâ€™t know what is. $SPY #SPY $NVDA #NVDA $QQ #QQ
2024-12-14 23:35:26+00:00,"Iâ€™m going to sell my 10,00 in #LMT (Lockheed Martin) What should I buy. Thinking #RKLB #IONQ #RGTI Anything else ?"
2024-12-14 22:21:56+00:00,I just paid $18 for a smoothie. The boom is back. I havenâ€™t bought a smoothie since Trulieve was $52 many moons ago. #pltr #rklb
2024-12-14 15:35:00+00:00,"RKLB, Rocket Lab USA, Inc., 2024-12-13, stock prices dynamics, stock of the day #RKLB #RocketLab"
2024-12-14 14:37:16+00:00,"The Ultimate Space Stock to Buy With $1,00 Right Now $tsat #rklb #telesat #leo #cash #esa"
2024-12-14 10:20:00+00:00,"RKLB, Rocket Lab USA, Inc., 2024-12-13, stock prices dynamics, stock of the day #RKLB"
2024-12-14 04:19:37+00:00,"If you are looking to hold a long term stock and make some money Rocket LAB is the way to go. The space economy is forecast to be worth $1trn by 2040, according to Morgan Stanley analysts. #rocketlab #ToTheMoon #RKLB"
2024-12-14 01:46:07+00:00,$RKLB will be held for years. I ainâ€™t ever selling. #RKLB
2024-12-13 22:54:13+00:00,I will hold #RKLB #IONQ and #PLTR for years
2024-12-13 21:53:01+00:00,#RKLB should be number one IMO ğŸ˜
2024-12-13 21:46:43+00:00,"+46,00 today. When #RKLB goes ğŸš€ Iâ€™m usually doing well. Maybe too invested in one stock."
2024-12-13 21:25:11+00:00,what you think of #RKLB? Seems like it found support and fundamentals are great.
2024-12-13 21:23:46+00:00,Do you have #RKLB? Seems like it found its support now and the fundamentals are positive.
2024-12-13 19:21:52+00:00,"Just a thought: I only own $RKLB and $LCID, roughly 50/50. Next week, if #RocketLab dips before the launch, I might sell 100% (or 50%, to be safe) of #LucidMotors for #RKLB, and probably buy #LCID back (profits excluded). I'm thinking.."
2024-12-13 17:48:05+00:00,"Gift ideas for your stock trader? Profitable Trader's Strategy Journal: Paperback Edition for $14.99: Hardcover Edition for $19.99: Great resource to make trading more profitable! Made by a trader for traders! #META, #GOOGL, #RKLB"
2024-12-13 17:22:28+00:00,#RKLB settled into a consolidation pattern over the last couple of weeks. Notice how the 50% Fibonacci acted as support. Will today be the day it bounces out of it? Not a recommendation.
2024-12-13 17:11:12+00:00,"Several higher volume stocks are showing in our Early Morning Movers Bullish scan. Some examples, not recommendations are: #BTDR, #CRDO, #TSLA, #SOFI, #RKLB, #UPST, #SERV, #RDDT, #RH. Let's see if the momentum holds."
2024-12-13 15:15:52+00:00,Donâ€™t fade out on me today #RKLB like you have been doing ğŸ˜
2024-12-13 08:38:40+00:00,RT : Jen Hsun Huang and Vietnamese President ğŸ˜‚ #PFE #PUBM #RCAT #BE #NVDA #SOFI #SMCI #BBD #RKLB #LUNR #MSTR #SPYâ€¦
2024-12-13 02:42:03+00:00,RT : Rocket Lab Form 4 ğŸš¨ Director Edward Frank sees a 12% reduction of holdings marked as a bona fide gift of shares to a chariâ€¦
2024-12-13 02:39:47+00:00,Rocket Lab Form 4 ğŸš¨ Director Edward Frank sees a 12% reduction of holdings marked as a bona fide gift of shares to a charitable donor advised fund. #RocketLab #RKLB $RKLB
2024-12-12 19:59:28+00:00,ğŸ™ Thanks for reading! This breakdown is NOT financial advice. Always do your research before making decisions. ğŸš€ Follow for more deep dives into the lives of innovators! ğŸŒŒ #finx #Stocks #RKLB #SPACE
2024-12-12 16:03:37+00:00,My top stock picks: RKLB: Rocket Labs $22.92 SPCE: Virgin Galactic $6.43 TSLA: Tesla $424.84 NFA/DYOR #stocks #RKLB #SPCE #TSLA #RocketLab #VirginGalactic #Tesla #NASDAQ #NYSE
2024-12-12 16:00:11+00:00,"Are you still in #RKLB can you share some thoughts about that !! I know you were talking about it 3-4 years back and not sure where are you with it , not seeking financial advice just your thoughts"
2024-12-12 11:10:39+00:00,or anyone elseâ€¦ What are your $RKLB price predictions based off current knowledge for the next 3 years #RKLB #rocketlab #electron #haste #neutron
2024-12-12 10:51:59+00:00,RT : Looks like Rocket Lab is gearing up to close out 2024 with another set of back-to-back launches ğŸš€ğŸš€ December 14-20 HASTE-3â€¦
2024-12-12 10:35:42+00:00,$RKLB Last time we stayed in a new range for more than two/three weeks was around $11. It feels like weâ€™re consolidating around the $23 mark now. If all else remains unchanged can we shoot up to $40 ? Itâ€™s my price target as Neutron gets onto the pad. $RKLB #RKLB
2024-12-12 07:25:58+00:00,$RKLB New head of NASA â€œlove[s] everything that Rocket Lab didâ€. How can these times be more exciting ? I canâ€™t wait for this new administration to get going and running full speed $RKLB #RKLB
2024-12-12 01:01:33+00:00,Tune in.. we talkin #rklb
2024-12-11 22:25:04+00:00,A good day. My top gainers #RKLB #RGTI #BTC #PLtR #GEV
2024-12-11 22:18:17+00:00,Rocket Lab Stock: Will It Pull Back or Soar Higher? ğŸš€ Dive into the $RKLB chart analysis and discover whatâ€™s next for this space tech company. Watch now: #stocks #trading #fintwit #RKLB
2024-12-11 21:41:38+00:00,"Haste will be the #starlink for #rklb in many ways (gov side) but better..then we get our own constellation soon after!!?? Current prices are low, very low looking 18-24 months out"
